"Symbol","Name","Price","Change","Market Cap","Circulating Supply"
"BTC-USD","Bitcoin USD","17368.04","677.14","333540000000.00","19204000.000"
"ETH-USD","Ethereum USD","1276.91","82.52","156260000000.00","122374000.000"
"USDT-USD","Tether USD","0.997979","0.001006","68134000000.000","68272000000.000"
"BNB-USD","BNB USD","296.14","18.05","47376000000.000","159975000.000"
"USDC-USD","USD Coin USD","1.0007","-0.0001","43759000000.000","43728000000.000"
"BUSD-USD","Binance USD USD","1.0008","-0.0010","23023000000.000","23005000000.000"
"XRP-USD","XRP USD","0.391276","0.029039","19648000000.000","50215000000.000"
"ADA-USD","Cardano USD","0.362673","0.009858","12460000000.00","34357000000.000"
"DOGE-USD","Dogecoin USD","0.087550","0.003377","11615000000.000","132671000000.000"
"MATIC-USD","Polygon USD","1.0800","0.1472","9433000000.000","8734000000.000"
"DOT-USD","Polkadot USD","5.7977","0.0513","6577000000.000","1134000000.000"
"SOL-USD","Solana USD","17.43","3.33","6322000000.000","362634000.000"
"DAI-USD","Dai USD","1.0014","0.0000","5865000000.000","5857000000.000"
"HEX-USD","HEX USD","0.033733","0.002160","5850000000.00","173411000000.000"
"WTRX-USD","Wrapped TRON USD","0.057253","0.001101","5821000000.000","101676000000.000"
"SHIB-USD","Shiba Inu USD","0.000010","0.000000","5542000000.000","549063000000000.000"
"TRX-USD","TRON USD","0.057570","0.001198","5309000000.000","92215000000.000"
"LTC-USD","Litecoin USD","63.01","8.76","4511000000.000","71587000.000"
"AVAX-USD","Avalanche USD","14.94","0.79","4480000000.00","299820000.00"
"UNI7083-USD","Uniswap USD","5.7829","0.2454","4408000000.000","762209000.000"
"STETH-USD","Lido Staked ETH USD","1254.58","99.26","4376000000.000","3488000.000"
"WBTC-USD","Wrapped Bitcoin USD","17358.49","674.04","4141000000.000","238563"
"LEO-USD","UNUS SED LEO USD","4.0409","0.1452","3855000000.000","953954000.000"
"LINK-USD","Chainlink USD","7.0831","0.3992","3482000000.000","491600000.0"
"ATOM-USD","Cosmos USD","12.03","0.90","3446000000.000","286370000.00"
