"Symbol","Name","Price","Change","Market Cap","Circulating Supply"
"BTC-USD","Bitcoin USD","20267.32","42.79","389079000000.000","19197000.000"
"ETH-USD","Ethereum USD","1546.75","13.02","189282000000.000","122374000.000"
"USDT-USD","Tether USD","1.0000","0.0000","69353000000.000","69351000000.000"
"BNB-USD","BNB USD","331.75","12.35","53073000000.000","159978000.000"
"USDC-USD","USD Coin USD","1.0002","0.0005","42228000000.000","42221000000.000"
"XRP-USD","XRP USD","0.457860","0.003805","22932000000.000","50085000000.000"
"BUSD-USD","Binance USD USD","1.0003","0.0001","21665000000.000","21659000000.000"
"DOGE-USD","Dogecoin USD","0.128701","-0.002235","17075000000.000","132671000000.000"
"ADA-USD","Cardano USD","0.396139","0.005363","13600000000.0","34331000000.000"
"SOL-USD","Solana USD","31.35","0.25","11269000000.000","359466000.000"
"MATIC-USD","Polygon USD","0.966395","0.115704","8441000000.000","8734000000.000"
"DOT-USD","Polkadot USD","6.5138","0.2186","7379000000.000","1133000000.000"
"HEX-USD","HEX USD","0.039269","-0.001592","6810000000.00","173411000000.000"
"SHIB-USD","Shiba Inu USD","0.000012","0.000000","6585000000.000","549063000000000.000"
"WTRX-USD","Wrapped TRON USD","0.062078","0.000126","6312000000.000","101676000000.000"
"DAI-USD","Dai USD","1.0004","0.0010","6122000000.000","6120000000.00"
"TRX-USD","TRON USD","0.061767","-0.000146","5698000000.000","92246000000.000"
"AVAX-USD","Avalanche USD","18.42","0.60","5505000000.000","298917000.000"
"UNI7083-USD","Uniswap USD","7.1548","0.0597","5453000000.000","762209000.000"
"STETH-USD","Lido Staked ETH USD","1589.91","9.61","5545000000.000","3488000.000"
"WBTC-USD","Wrapped Bitcoin USD","20260.39","42.15","4974000000.000","245479"
"LTC-USD","Litecoin USD","62.98","3.02","4505000000.000","71531000.000"
"LEO-USD","UNUS SED LEO USD","4.6678","0.0210","4453000000.000","953954000.000"
"ATOM-USD","Cosmos USD","13.75","0.42","3938000000.000","286370000.00"
"LINK-USD","Chainlink USD","7.8319","0.2427","3850000000.00","491600000.0"
"ETC-USD","Ethereum Classic USD","24.17","0.64","3330000000.00","137735000.000"
"FTT-USD","FTX Token USD","24.55","-0.64","3266000000.000","133026000.000"
"CRO-USD","Cronos USD","0.110898","0.002885","2802000000.000","25263000000.000"
"XLM-USD","Stellar USD","0.109320","0.000998","2801000000.000","25622000000.000"
"XMR-USD","Monero USD","149.75","2.54","2725000000.000","18196000.000"
"ALGO-USD","Algorand USD","0.380573","0.028105","2693000000.000","7075000000.000"
"NEAR-USD","NEAR Protocol USD","3.0758","0.1817","2517000000.000","818415000.000"
"BCH-USD","Bitcoin Cash USD","116.83","1.61","2245000000.000","19219000.000"
"BTCB-USD","Bitcoin BEP2 USD","20291.11","-3.22","2136000000.000","105290"
"TON11419-USD","Toncoin USD","1.6142","0.0594","1972000000.000","1221000000.000"
"QNT-USD","Quant USD","158.75","0.80","1917000000.000","12073000.000"
"FIL-USD","Filecoin USD","5.9634","0.7044","1868000000.000","313252000.000"
"FLOW-USD","Flow USD","1.7981","0.1916","1863000000.000","1036000000.000"
"VET-USD","VeChain USD","0.023825","0.000554","1728000000.000","72511000000.000"
"ICP-USD","Internet Computer USD","5.5052","0.4621","1481000000.000","268967000.000"
"LUNC-USD","Terra Classic USD","0.000220","0.000002","1451000000.000","6591000000000.000"
"CHZ-USD","Chiliz USD","0.240202","0.000390","1443000000.000","6007000000.000"
"EGLD-USD","Elrond USD","59.66","1.56","1411000000.000","23644000.000"
"HBAR-USD","Hedera USD","0.060328","0.002212","1386000000.000","22968000000.000"
"HT-USD","Huobi Token USD","8.8683","0.1368","1360000000.00","153358000.000"
"APE18876-USD","ApeCoin USD","4.4270","0.1488","1359000000.000","306875000.000"
"OKB-USD","OKB USD","21.18","5.04","1271000000.000","60000000"
"THETA-USD","Theta Network USD","1.2648","0.1187","1265000000.000","1000000000"
"XTZ-USD","Tezos USD","1.3789","0.0014","1261000000.000","914722000.000"
"SAND-USD","The Sandbox USD","0.828089","0.019280","1242000000.000","1499000000.000"
"FRAX-USD","Frax USD","0.994967","0.007868","1206000000.000","1212000000.000"
"MANA-USD","Decentraland USD","0.646264","0.025835","1199000000.000","1855000000.000"
"AAVE-USD","Aave USD","84.67","2.87","1193000000.000","14093000.000"
"EOS-USD","EOS USD","1.1571","0.0227","1163000000.000","1005000000.000"
"WBNB-USD","Wrapped BNB USD","331.85","13.11","1149000000.000","3463000.000"
"XCN18679-USD","Chain USD","0.053188","-0.001174","1142000000.000","21473000000.000"
"KCS-USD","KuCoin Token USD","10.02","0.07","985355000.000","98380000.00"
"APT21794-USD","Aptos USD","8.1441","0.2585","1059000000.000","130000000"
"USDP-USD","Pax Dollar USD","0.997346","-0.000154","943133000.000","945643000.000"
"BSV-USD","Bitcoin SV USD","46.95","-0.02","902117000.000","19215000.000"
"BTTOLD-USD","BitTorrent USD","0.000872","0.000038","863285000.000","990000000000"
"BIT11221-USD","BitDAO USD","0.411450","-0.000117","860320000.00","2091000000.000"
"AXS-USD","Axie Infinity USD","8.9266","0.2656","855283000.000","95812000.000"
"MKR-USD","Maker USD","856.00","1.05","836856000.000","977631"
"TUSD-USD","TrueUSD USD","1.0003","0.0004","822782000.000","822537000.000"
"ZEC-USD","Zcash USD","50.87","0.41","794769000.000","15622000.000"
"HBTC-USD","Huobi BTC USD","20192.13","-61.33","786877000.000","38969"
"BTT-USD","BitTorrent-New USD","0.00000080","0.00000000","755619000.000","945326000000000.000"
"SNX-USD","Synthetix USD","2.4584","0.0675","746868000.000","303805000.000"
"KLAY-USD","Klaytn USD","0.241538","-0.001967","745559000.000","3087000000.000"
"USDD-USD","USDD USD","0.995222","0.001009","721867000.000","725332000.000"
"XEC-USD","eCash USD","0.000037","0.000001","718082000.000","19216000000000.000"
"MIOTA-USD","IOTA USD","0.257448","0.008765","715584000.000","2780000000.00"
"CAKE-USD","PancakeSwap USD","4.6481","0.0975","676655000.000","145578000.000"
"ETHW-USD","EthereumPoW USD","6.1865","0.0798","662110000.00","107024000.000"
"FTM-USD","Fantom USD","0.259977","0.036774","661642000.000","2545000000.000"
"USDN-USD","Neutrino USD USD","0.969928","-0.005505","659810000.00","680266000.000"
"GUSD-USD","Gemini Dollar USD","0.998422","-0.001445","638787000.000","639796000.000"
"GRT6719-USD","The Graph USD","0.089893","0.008700","620263000.000","6900000000.0"
"NEO-USD","Neo USD","8.4515","0.1349","596159000.000","70539000.000"
"MINA-USD","Mina USD","0.698808","0.025731","507711000.000","726539000.000"
"NEXO-USD","Nexo USD","0.963224","-0.003835","539406000.000","560000000"
"PAXG-USD","PAX Gold USD","1626.73","-5.64","529028000.000","325209"
"HNT-USD","Helium USD","4.0757","0.2978","528527000.000","129678000.000"
"LDO-USD","Lido DAO USD","1.6038","0.1341","501902000.000","312951000.000"
"RUNE-USD","THORChain USD","1.5174","0.0415","501780000.00","330688000.000"
"GT-USD","GateToken USD","4.6290","0.0091","501164000.000","108265000.000"
"AR-USD","Arweave USD","14.78","4.81","493674000.000","33395000.000"
"BAT-USD","Basic Attention Token USD","0.330119","0.024780","493752000.000","1496000000.000"
"TWT-USD","Trust Wallet Token USD","1.1742","0.0012","489221000.000","416650000.00"
"CRV-USD","Curve DAO Token USD","0.916483","0.044513","487187000.000","531583000.000"
"DASH-USD","Dash USD","42.29","1.56","464692000.000","10989000.000"
"WEMIX-USD","WEMIX USD","1.4324","0.0196","456109000.000","318422000.000"
"KAVA-USD","Kava USD","1.4269","0.0423","442923000.000","310414000.000"
"ENJ-USD","Enjin Coin USD","0.439336","0.010784","439336000.000","1000000000"
"OSMO-USD","Osmosis USD","1.5309","0.0486","432415000.000","282464000.000"
"STX4847-USD","Stacks USD","0.317739","0.012640","426530000.00","1342000000.000"
"FEI-USD","Fei USD USD","0.987440","-0.004957","419658000.000","424996000.000"
"CSPR-USD","Casper USD","0.03977","0.00163","416830000.00","10481000000.000"
"ZIL-USD","Zilliqa USD","0.030705","0.000888","414210000.00","13490000000.00"
